idx,true,pred,parsed_ok,raw
0,1,1,1,"B
"
1,0,0,1,"A
"
2,1,0,1,"A
"
3,0,0,1,"A
"
4,1,1,1,"B
"
5,1,1,1,"B
"
6,1,1,1,"B
"
7,1,1,1,"B
"
8,1,1,1,"B
"
9,0,0,1,"A
"
10,1,1,1,"B
"
11,1,1,1,"B
"
12,1,1,1,"B
"
13,1,1,1,"B
"
14,1,1,1,"B
"
15,1,1,1,"B
"
16,1,1,1,"B
"
17,1,1,1,"B
"
18,1,1,1,"B
"
19,0,0,1,"A
"
20,0,0,1,"A
"
21,1,1,1,"B
"
22,1,1,1,"B
"
23,1,0,1,"A
"
24,1,1,1,"B
"
25,0,0,1,"A
"
26,1,1,1,"B
"
27,0,0,1,"A
"
28,0,0,1,"A
"
29,1,1,1,"B
"
30,0,0,1,"A
"
31,1,0,1,"A
"
32,1,1,1,"B
"
33,1,1,1,"B
"
34,1,1,1,"B
"
35,1,1,1,"B
"
36,0,0,1,"A
"
37,1,1,1,"B
"
38,0,0,1,"A
"
39,0,0,1,"A
"
40,1,1,1,"B
"
41,0,0,1,"A
"
42,0,0,1,"A
"
43,0,0,1,"A
"
44,0,0,1,"A
"
45,1,1,1,"B
"
46,0,0,1,"A
"
47,1,1,1,"B
"
48,1,1,1,"B
"
49,1,1,1,"B
"
50,0,0,1,"A
"
51,1,1,1,"B
"
52,0,0,1,"A
"
53,1,1,1,"B
"
54,0,0,1,"A
"
55,0,0,1,"A
"
56,1,1,1,"B
"
57,0,0,1,"A
"
58,0,0,1,"A
"
59,1,1,1,"B
"
60,0,0,1,"A
"
61,0,0,1,"A
"
62,0,0,1,"A
"
63,1,1,1,"B
"
64,1,1,1,"B
"
65,1,1,1,"B
"
66,0,0,1,"A
"
67,0,0,1,"A
"
68,0,0,1,"A
"
69,0,0,1,"A
"
70,1,1,1,"B
"
71,0,0,1,"A
"
72,0,0,1,"A
"
73,1,1,1,"B
"
74,1,1,1,"B
"
75,1,1,1,"B
"
76,1,0,1,"A
"
77,0,0,1,"A
"
78,0,0,1,"A
"
79,1,1,1,"B
"
80,1,1,1,"B
"
81,1,0,1,"A
"
82,1,1,1,"B
"
83,0,0,1,"A
"
84,0,0,1,"A
"
85,0,0,1,"A
"
86,0,0,1,"A
"
87,1,0,1,"A
"
88,1,0,1,"A
"
89,0,0,1,"A
"
90,1,1,1,"B
"
91,0,1,1,"B
"
92,1,1,1,"B
"
93,0,0,1,"A
"
94,1,1,1,"B
"
95,1,1,1,"B
"
96,1,1,1,"B
"
97,0,0,1,"A
"
98,0,0,1,"A
"
99,1,1,1,"B
"
100,1,1,1,"B
"
101,1,1,1,"B
"
102,1,1,1,"B
"
103,0,1,1,"B
"
104,1,1,1,"B
"
105,1,1,1,"B
"
106,0,0,1,"A
"
107,0,0,1,"A
"
108,1,1,1,"B
"
109,0,0,1,"A
"
110,1,1,1,"B
"
111,1,1,1,"B
"
112,0,0,1,"A
"
113,1,1,1,"B
"
114,0,0,1,"A
"
115,1,1,1,"B
"
116,1,0,1,"A
"
117,1,1,1,"B
"
118,0,0,1,"A
"
119,0,0,1,"A
"
120,1,1,1,"B
"
121,1,1,1,"B
"
122,1,0,1,"A
"
123,0,0,1,"A
"
124,1,1,1,"B
"
125,0,0,1,"A
"
126,0,0,1,"A
"
127,1,1,1,"B
"
128,0,0,1,"A
"
129,1,1,1,"B
"
130,1,0,1,"A
"
131,0,0,1,"A
"
132,1,0,1,"A
"
133,0,0,1,"A
"
134,1,1,1,"B
"
135,1,1,1,"B
"
136,0,0,1,"A
"
137,1,1,1,"B
"
138,1,1,1,"B
"
139,0,0,1,"A
"
140,1,1,1,"B
"
141,1,0,1,"A
"
142,0,0,1,"A
"
143,0,0,1,"A
"
144,0,0,1,"A
"
145,0,0,1,"A
"
146,0,0,1,"A
"
147,0,0,1,"A
"
148,1,1,1,"B
"
149,1,1,1,"B
"
150,0,0,1,"A
"
151,1,1,1,"B
"
152,0,0,1,"A
"
153,1,1,1,"B
"
154,1,1,1,"B
"
155,1,1,1,"B
"
156,1,1,1,"B
"
157,1,1,1,"B
"
158,1,0,1,"A
"
159,1,1,1,"B
"
160,0,0,1,"A
"
161,0,0,1,"A
"
162,1,1,1,"B
"
163,1,1,1,"B
"
164,0,0,1,"A
"
165,0,1,1,"B
"
166,0,1,1,"B
"
167,1,1,1,"B
"
168,1,1,1,"B
"
169,1,1,1,"B
"
170,1,1,1,"B
"
171,1,0,1,"A
"
172,1,1,1,"B
"
173,1,1,1,"B
"
174,0,0,1,"A
"
175,1,1,1,"B
"
176,1,0,1,"A
"
177,0,0,1,"A
"
178,1,1,1,"B
"
179,0,1,1,"B
"
180,1,1,1,"B
"
181,1,1,1,"B
"
182,1,0,1,"A
"
183,1,1,1,"B
"
184,1,1,1,"B
"
185,0,0,1,"A
"
186,0,0,1,"A
"
187,0,0,1,"A
"
188,1,1,1,"B
"
189,0,0,1,"A
"
190,1,1,1,"B
"
191,0,0,1,"A
"
192,1,1,1,"B
"
193,1,1,1,"B
"
194,0,0,1,"A
"
195,0,1,1,"B
"
196,1,1,1,"B
"
197,1,1,1,"B
"
198,1,1,1,"B
"
199,0,0,1,"A
"
200,1,1,1,"B
"
201,1,0,1,"A
"
202,1,1,1,"B
"
203,1,1,1,"B
"
204,1,0,1,"A
"
205,1,1,1,"B
"
206,1,0,1,"A
"
207,1,1,1,"B
"
208,0,0,1,"A
"
209,1,1,1,"B
"
210,0,0,1,"A
"
211,1,1,1,"B
"
212,1,1,1,"B
"
213,1,1,1,"B
"
214,1,0,1,"A
"
215,1,1,1,"B
"
216,1,1,1,"B
"
217,0,0,1,"A
"
218,1,1,1,"B
"
219,1,1,1,"B
"
220,0,0,1,"A
"
221,0,0,1,"A
"
222,0,0,1,"A
"
223,1,1,1,"B
"
224,0,0,1,"A
"
225,1,1,1,"B
"
226,0,0,1,"A
"
227,1,1,1,"B
"
228,1,1,1,"B
"
229,0,0,1,"A
"
230,1,1,1,"B
"
231,0,0,1,"A
"
232,0,0,1,"A
"
233,1,1,1,"B
"
234,0,0,1,"A
"
235,1,1,1,"B
"
236,0,0,1,"A
"
237,0,0,1,"A
"
238,1,1,1,"B
"
239,0,0,1,"A
"
240,0,0,1,"A
"
241,1,1,1,"B
"
242,1,1,1,"B
"
243,0,0,1,"A
"
244,1,1,1,"B
"
245,1,1,1,"B
"
246,1,1,1,"B
"
247,1,1,1,"B
"
248,1,0,1,"A
"
249,1,1,1,"B
"
250,1,1,1,"B
"
251,0,0,1,"A
"
252,1,1,1,"B
"
253,1,1,1,"B
"
254,1,0,1,"A
"
255,0,0,1,"A
"
256,1,1,1,"B
"
257,1,1,1,"B
"
258,0,0,1,"A
"
259,0,0,1,"A
"
260,1,1,1,"B
"
261,1,0,1,"A
"
262,1,1,1,"B
"
263,1,1,1,"B
"
264,0,0,1,"A
"
265,1,1,1,"B
"
266,0,0,1,"A
"
267,0,0,1,"A
"
268,1,1,1,"B
"
269,1,1,1,"B
"
270,1,1,1,"B
"
271,1,1,1,"B
"
272,1,1,1,"B
"
273,0,0,1,"A
"
274,1,1,1,"B
"
275,1,1,1,"B
"
276,1,1,1,"B
"
277,1,1,1,"B
"
278,0,0,1,"A
"
279,1,1,1,"B
"
280,0,0,1,"A
"
281,0,0,1,"A
"
282,0,0,1,"A
"
283,1,1,1,"B
"
284,1,1,1,"B
"
285,0,0,1,"A
"
286,1,1,1,"B
"
287,1,1,1,"B
"
288,1,0,1,"A
"
289,1,1,1,"B
"
290,0,0,1,"A
"
291,1,0,1,"A
"
292,0,0,1,"A
"
