idx,true,pred,parsed_ok,raw
0,5,5,1,"F
"
1,3,3,1,"D
"
2,4,2,1,"C
"
3,0,0,1,"A
"
4,5,5,1,"F
"
5,5,5,1,"F
"
6,5,5,1,"F
"
7,4,5,1,"F
"
8,5,5,1,"F
"
9,2,2,1,"C
"
10,1,2,1,"C
"
11,5,5,1,"F
"
12,4,2,1,"C
"
13,5,5,1,"F
"
14,5,5,1,"F
"
15,4,5,1,"F
"
16,4,5,1,"F
"
17,2,5,1,"F
"
18,5,5,1,"F
"
19,2,5,1,"F
"
20,5,5,1,"F
"
21,5,2,1,"C
"
22,5,5,1,"F
"
23,5,5,1,"F
"
24,5,5,1,"F
"
25,5,5,1,"F
"
26,5,6,1,"G
"
27,5,2,1,"C
"
28,5,5,1,"F
"
29,2,0,1,"A
"
30,5,5,1,"F
"
31,5,5,1,"F
"
32,4,2,1,"C
"
33,5,5,1,"F
"
34,2,2,1,"C
"
35,2,0,1,"A
"
36,2,5,1,"F
"
37,5,6,1,"G
"
38,2,2,1,"C
"
39,1,6,1,"G
"
40,5,5,1,"F
"
41,5,5,1,"F
"
42,5,5,1,"F
"
43,5,5,1,"F
"
44,5,5,1,"F
"
45,1,0,1,"A
"
46,5,5,1,"F
"
47,5,5,1,"F
"
48,5,6,1,"G
"
49,5,5,1,"F
"
50,5,0,1,"A
"
51,5,5,1,"F
"
52,5,5,1,"F
"
53,5,5,1,"F
"
54,5,5,1,"F
"
55,2,2,1,"C
"
56,3,2,1,"C
"
57,2,2,1,"C
"
58,5,5,1,"F
"
59,5,5,1,"F
"
60,5,5,1,"F
"
61,5,5,1,"F
"
62,0,0,1,"A
"
63,5,5,1,"F
"
64,5,5,1,"F
"
65,5,5,1,"F
"
66,4,5,1,"F
"
67,5,5,1,"F
"
68,4,2,1,"C
"
69,5,5,1,"F
"
70,5,5,1,"F
"
71,5,5,1,"F
"
72,1,0,1,"A
"
73,3,6,1,"G
"
74,4,2,1,"C
"
75,5,5,1,"F
"
76,5,5,1,"F
"
77,4,5,1,"F
"
78,5,5,1,"F
"
79,5,5,1,"F
"
80,5,5,1,"F
"
81,5,5,1,"F
"
82,5,2,1,"C
"
83,5,2,1,"C
"
84,5,5,1,"F
"
85,5,2,1,"C
"
86,4,5,1,"F
"
87,5,5,1,"F
"
88,5,5,1,"F
"
89,5,5,1,"F
"
90,5,5,1,"F
"
91,5,5,1,"F
"
92,1,2,1,"C
"
93,5,5,1,"F
"
94,5,5,1,"F
"
95,5,5,1,"F
"
96,4,5,1,"F
"
97,5,5,1,"F
"
98,5,2,1,"C
"
99,5,5,1,"F
"
100,4,5,1,"F
"
101,5,2,1,"C
"
102,5,5,1,"F
"
103,5,2,1,"C
"
104,5,3,1,"D
"
105,2,5,1,"F
"
106,5,5,1,"F
"
107,5,5,1,"F
"
108,5,5,1,"F
"
109,5,5,1,"F
"
110,5,5,1,"F
"
111,3,2,1,"C
"
112,5,5,1,"F
"
113,5,5,1,"F
"
114,1,2,1,"C
"
115,5,5,1,"F
"
116,5,5,1,"F
"
117,5,5,1,"F
"
118,2,5,1,"F
"
119,5,2,1,"C
"
120,4,4,1,"E
"
121,5,5,1,"F
"
122,5,5,1,"F
"
123,5,5,1,"F
"
124,5,5,1,"F
"
125,4,5,1,"F
"
126,5,2,1,"C
"
127,2,2,1,"C
"
128,4,4,1,"E
"
129,5,2,1,"C
"
130,4,5,1,"F
"
131,2,5,1,"F
"
132,1,2,1,"C
"
133,5,5,1,"F
"
134,5,2,1,"C
"
135,5,6,1,"G
"
136,5,5,1,"F
"
137,4,5,1,"F
"
138,5,5,1,"F
"
139,2,2,1,"C
"
140,4,4,1,"E
"
141,5,5,1,"F
"
142,5,5,1,"F
"
143,2,2,1,"C
"
144,5,5,1,"F
"
145,2,2,1,"C
"
146,5,2,1,"C
"
147,5,5,1,"F
"
148,5,6,1,"G
"
149,5,5,1,"F
"
150,5,5,1,"F
"
151,5,6,1,"G
"
152,5,5,1,"F
"
153,5,5,1,"F
"
154,4,5,1,"F
"
155,5,5,1,"F
"
156,5,5,1,"F
"
157,5,5,1,"F
"
158,4,2,1,"C
"
159,2,2,1,"C
"
160,5,5,1,"F
"
161,1,5,1,"F
"
162,5,5,1,"F
"
163,2,2,1,"C
"
164,5,2,1,"C
"
165,2,5,1,"F
"
166,5,5,1,"F
"
167,5,5,1,"F
"
168,0,0,1,"A
"
169,1,2,1,"C
"
170,4,5,1,"F
"
171,5,0,1,"A
"
172,5,5,1,"F
"
173,5,5,1,"F
"
174,5,5,1,"F
"
175,6,6,1,"G
"
176,5,5,1,"F
"
177,4,5,1,"F
"
178,2,6,1,"G
"
179,1,5,1,"F
"
180,5,5,1,"F
"
181,5,5,1,"F
"
182,2,2,1,"C
"
183,5,5,1,"F
"
184,5,5,1,"F
"
185,5,5,1,"F
"
186,5,2,1,"C
"
187,2,6,1,"G
"
188,2,2,1,"C
"
189,0,0,1,"A
"
190,5,5,1,"F
"
191,4,4,1,"E
"
192,2,5,1,"F
"
193,5,5,1,"F
"
194,4,5,1,"F
"
195,5,5,1,"F
"
196,5,6,1,"G
"
197,5,5,1,"F
"
198,5,5,1,"F
"
199,0,0,1,"A
"
200,5,5,1,"F
"
201,5,5,1,"F
"
202,5,5,1,"F
"
203,5,5,1,"F
"
204,2,5,1,"F
"
205,5,5,1,"F
"
206,5,5,1,"F
"
207,5,5,1,"F
"
208,5,5,1,"F
"
209,4,1,1,"B
"
210,4,6,1,"G
"
211,5,2,1,"C
"
212,5,5,1,"F
"
213,5,6,1,"G
"
214,1,2,1,"C
"
215,0,2,1,"C
"
216,5,5,1,"F
"
217,5,2,1,"C
"
218,6,6,1,"G
"
219,5,5,1,"F
"
220,5,5,1,"F
"
221,2,0,1,"A
"
222,2,5,1,"F
"
223,5,5,1,"F
"
224,5,5,1,"F
"
