idx,true,pred,parsed_ok,raw
0,5,5,1," F
"
1,3,1,1," B
"
2,4,2,1," C
"
3,0,0,1," A
"
4,5,5,1," F
"
5,5,5,1," F
"
6,5,5,1," F
"
7,4,5,1," F
"
8,5,5,1," F
"
9,2,2,1," C
"
10,1,2,1," C
"
11,5,5,1," F
"
12,4,4,1," E
"
13,5,5,1," F
"
14,5,5,1," F
"
15,4,5,1," F
"
16,4,4,1," E
"
17,2,5,1," F
"
18,5,5,1," F
"
19,2,5,1," F
"
20,5,4,1," E
"
21,5,5,1," F
"
22,5,5,1," F
"
23,5,5,1," F
"
24,5,4,1," E
"
25,5,4,1," E
"
26,5,2,1," C
"
27,5,2,1," C
"
28,5,5,1," F
"
29,2,1,1," B
"
30,5,5,1," F
"
31,5,5,1," F
"
32,4,2,1," C
"
33,5,5,1," F
"
34,2,2,1," C
"
35,2,2,1," C
"
36,2,2,1," C
"
37,5,5,1," F
"
38,2,1,1," B
"
39,1,4,1," E
"
40,5,4,1," E
"
41,5,5,1," F
"
42,5,5,1," F
"
43,5,5,1," F
"
44,5,5,1," F
"
45,1,0,1," A
"
46,5,5,1," F
"
47,5,5,1," F
"
48,5,5,1," F
"
49,5,5,1," F
"
50,5,0,1," A
"
51,5,2,1," C
"
52,5,5,1," F
"
53,5,5,1," F
"
54,5,5,1," F
"
55,2,4,1," E
"
56,3,5,1," F
"
57,2,2,1," C
"
58,5,5,1," F
"
59,5,5,1," F
"
60,5,5,1," F
"
61,5,5,1," F
"
62,0,0,1," A
"
63,5,5,1," F
"
64,5,5,1," F
"
65,5,5,1," F
"
66,4,5,1," F
"
67,5,5,1," F
"
68,4,2,1," C
"
69,5,5,1," F
"
70,5,5,1," F
"
71,5,5,1," F
"
72,1,2,1," C
"
73,3,2,1," C
"
74,4,0,1," A
"
75,5,5,1," F
"
76,5,4,1," E
"
77,4,4,1," E
"
78,5,5,1," F
"
79,5,5,1," F
"
80,5,5,1," F
"
81,5,5,1," F
"
82,5,2,1," C
"
83,5,2,1," C
"
84,5,5,1," F
"
85,5,2,1," C
"
86,4,4,1," E
"
87,5,5,1," F
"
88,5,5,1," F
"
89,5,5,1," F
"
90,5,4,1," E
"
91,5,5,1," F
"
92,1,0,1," A
"
93,5,5,1," F
"
94,5,5,1," F
"
95,5,5,1," F
"
96,4,5,1," F
"
97,5,5,1," F
"
98,5,4,1," E
"
99,5,5,1," F
"
100,4,4,1," E
"
101,5,4,1," E
"
102,5,5,1," F
"
103,5,2,1," C
"
104,5,2,1," C
"
105,2,5,1," F
"
106,5,5,1," F
"
107,5,5,1," F
"
108,5,5,1," F
"
109,5,5,1," F
"
110,5,5,1," F
"
111,3,2,1," C
"
112,5,2,1," C
"
113,5,4,1," E
"
114,1,0,1," A
"
115,5,5,1," F
"
116,5,5,1," F
"
117,5,5,1," F
"
118,2,5,1," F
"
119,5,5,1," F
"
120,4,4,1," E
"
121,5,5,1," F
"
122,5,5,1," F
"
123,5,5,1," F
"
124,5,5,1," F
"
125,4,4,1," E
"
126,5,2,1," C
"
127,2,2,1," C
"
128,4,4,1," E
"
129,5,2,1," C
"
130,4,5,1," F
"
131,2,4,1," E
"
132,1,0,1," A
"
133,5,5,1," F
"
134,5,5,1," F
"
135,5,2,1," C
"
136,5,5,1," F
"
137,4,4,1," E
"
138,5,5,1," F
"
139,2,5,1," F
"
140,4,4,1," E
"
141,5,5,1," F
"
142,5,5,1," F
"
143,2,2,1," C
"
144,5,4,1," E
"
145,2,2,1," C
"
146,5,5,1," F
"
147,5,5,1," F
"
148,5,5,1," F
"
149,5,5,1," F
"
150,5,5,1," F
"
151,5,2,1," C
"
152,5,5,1," F
"
153,5,5,1," F
"
154,4,5,1," F
"
155,5,4,1," E
"
156,5,5,1," F
"
157,5,5,1," F
"
158,4,2,1," C
"
159,2,2,1," C
"
160,5,5,1," F
"
161,1,5,1," F
"
162,5,4,1," E
"
163,2,5,1," F
"
164,5,0,1," A
"
165,2,5,1," F
"
166,5,5,1," F
"
167,5,5,1," F
"
168,0,2,1," C
"
169,1,5,1," F
"
170,4,5,1," F
"
171,5,2,1," C
"
172,5,4,1," E
"
173,5,5,1," F
"
174,5,5,1," F
"
175,6,4,1," E
"
176,5,5,1," F
"
177,4,4,1," E
"
178,2,1,1," B
"
179,1,4,1," E
"
180,5,5,1," F
"
181,5,5,1," F
"
182,2,5,1," F
"
183,5,5,1," F
"
184,5,5,1," F
"
185,5,5,1," F
"
186,5,2,1," C
"
187,2,2,1," C
"
188,2,2,1," C
"
189,0,2,1," C
"
190,5,5,1," F
"
191,4,5,1," F
"
192,2,4,1," E
"
193,5,4,1," E
"
194,4,5,1," F
"
195,5,5,1," F
"
196,5,2,1," C
"
197,5,5,1," F
"
198,5,5,1," F
"
199,0,0,1," A
"
200,5,5,1," F
"
201,5,5,1," F
"
202,5,5,1," F
"
203,5,5,1," F
"
204,2,5,1," F
"
205,5,5,1," F
"
206,5,2,1," C
"
207,5,5,1," F
"
208,5,5,1," F
"
209,4,2,1," C
"
210,4,1,1," B
"
211,5,4,1," E
"
212,5,5,1," F
"
213,5,5,1," F
"
214,1,4,1," E
"
215,0,2,1," C
"
216,5,5,1," F
"
217,5,2,1," C
"
218,6,2,1," C
"
219,5,5,1," F
"
220,5,5,1," F
"
221,2,0,1," A
"
222,2,5,1," F
"
223,5,5,1," F
"
224,5,5,1," F
"
225,5,2,1," C
"
226,5,5,1," F
"
227,5,5,1," F
"
228,5,5,1," F
"
229,5,5,1," F
"
230,5,5,1," F
"
231,5,5,1," F
"
232,5,2,1," C
"
233,5,5,1," F
"
234,4,2,1," C
"
235,2,5,1," F
"
236,5,5,1," F
"
237,4,0,1," A
"
238,5,5,1," F
"
239,5,5,1," F
"
240,5,5,1," F
"
241,5,5,1," F
"
242,4,4,1," E
"
243,5,5,1," F
"
244,0,2,1," C
"
245,5,5,1," F
"
246,5,5,1," F
"
247,5,5,1," F
"
248,4,2,1," C
"
249,1,4,1," E
"
250,5,5,1," F
"
251,2,2,1," C
"
252,5,5,1," F
"
253,5,5,1," F
"
254,5,5,1," F
"
255,4,4,1," E
"
256,5,5,1," F
"
257,5,5,1," F
"
258,5,2,1," C
"
259,2,2,1," C
"
260,5,5,1," F
"
261,1,4,1," E
"
262,4,2,1," C
"
263,2,5,1," F
"
264,5,2,1," C
"
265,5,5,1," F
"
266,4,5,1," F
"
267,5,5,1," F
"
268,5,4,1," E
"
269,0,2,1," C
"
270,5,5,1," F
"
271,5,2,1," C
"
272,5,5,1," F
"
273,1,0,1," A
"
274,5,5,1," F
"
275,5,5,1," F
"
276,4,4,1," E
"
277,5,4,1," E
"
278,5,4,1," E
"
279,5,5,1," F
"
280,5,5,1," F
"
281,5,2,1," C
"
282,5,5,1," F
"
283,5,5,1," F
"
284,5,5,1," F
"
285,4,5,1," F
"
286,6,4,1," E
"
287,5,5,1," F
"
288,4,4,1," E
"
289,5,5,1," F
"
290,4,5,1," F
"
291,5,5,1," F
"
292,5,5,1," F
"
293,1,1,1," B
"
294,2,2,1," C
"
295,5,5,1," F
"
296,2,4,1," E
"
297,0,4,1," E
"
298,5,5,1," F
"
299,5,4,1," E
"
300,2,5,1," F
"
301,5,5,1," F
"
302,1,4,1," E
"
303,5,2,1," C
"
304,2,2,1," C
"
305,5,0,1," A
"
